Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Year
XOM.N,Exxon Mobil Corp,XOM,United States of America,A+,8.31729814003691,65.68867,24.47,24.6174,31.46375,338923000000.0,0.23359,259051954878.41,27.2303,168577000000.0,338923000000.0,2021.0
TTEF.PA,TotalEnergies SE,TTE,France,A,13.2062069172511,36.3115,36.93985,36.93985,38.12375,293458000000.0,0.28288,133963532448.071,54.82569,111736000000.0,293458000000.0,2021.0
BP.L,BP PLC,BP.,United Kingdom,A-,9.57381159001061,39.30143,60.0285,44.26348,41.152,287272000000.0,0.48172,88268433641.6762,77.16472,75463000000.0,287272000000.0,2021.0
CVX.N,Chevron Corp,CVX,United States of America,A+,8.18215828474896,62.88392,27.11,27.49665,31.79857,239535000000.0,0.18361,226213942594.65,22.41604,139067000000.0,239535000000.0,2021.0
TTLC.CI,Total Cote d'Ivoire SA,TTLC,Ivory Coast,A,,,,,,,,,,,,2021.0
OXY.N,Occidental Petroleum Corp,OXY,United States of America,BB-,6.9735047238241,80.83587,27.5,24.69636,29.275,75036000000.0,1.32105,27076108639.19,145.70276,20327000000.0,75036000000.0,2021.0
GAZP.MM,Gazprom PAO,GAZP,Russia,BBB,13.3991958674916,62.48277,,22.04098,,27047230000000.0,0.15352,8126643508312.0,30.63698,16251519000000.0,27047230000000.0,2021.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,MOL,Hungary,A,14.8145887801299,52.05742,7.18406,7.18406,,6494259000000.0,0.20287,2061653533975.18,34.19102,2775862000000.0,6494259000000.0,2021.0
MGMC.OM,Muscat Gases Company SAOG,MGMC,Oman,A+,1.77413962733,30.38896,,23.25434,,10825511.0,-0.19206,4920255.7970261,12.6356,6345779.0,10825511.0,2021.0
IMO.TO,Imperial Oil Ltd,IMO,Canada,A+,9.31610355042287,77.20318,24.4898,24.4898,25.2,40782000000.0,0.13908,31733789148.32,23.81412,21735000000.0,40782000000.0,2021.0
SU.TO,Suncor Energy Inc,SU,Canada,A-,12.0689187846152,80.93242,27.51,26.05027,27.15,83739000000.0,0.44106,46115782584.3,50.12837,36614000000.0,83739000000.0,2021.0
ENI.MI,Eni SpA,ENI,Italy,A-,14.3778036218641,44.3654,51.01,45.34394,49.987,137765000000.0,0.41726,44060369042.56,74.41991,44437000000.0,137765000000.0,2021.0
600028.SS,China Petroleum & Chemical Corp,600028,China,AA-,9.85585313546623,49.74649,27.14046,21.52139,23.5,1889255000000.0,0.1149,479672057251.734,35.72351,775102000000.0,1889255000000.0,2021.0
